id,a0,a1,a2,a3,a4
uno, 11.4164,228.401,0.00105421,1,5,1
uno, 11.4164,229.895,0.00109145,1,5,1
uno, 11.4164,180.837,0.00114022,1,5,1
uno, 11.4164,147.058,0.0127774,1,5,1
uno, 11.4164,298.027,0.00116335,1,5,1
uno, 11.4164,108.686,0.00111755,1,5,1
uno, 11.4164,16.0433,0.00111387,1,5,1
uno, 11.4164,251.324,0.00118852,1,5,1
uno, 11.4164,165.603,0.00147835,1,5,1
uno, 13.5765,202.816,0.00334531,1,6,1
uno, 16.1452,189.194,0.00100376,1,7,1
uno, 16.1452,295.993,0.00111706,1,7,1
uno, 16.1452,169.239,0.00128131,1,7,1
uno, 16.1452,202.016,0.00108313,1,7,1
uno, 16.1452,61.4639,0.00129835,1,7,1
uno, 16.1452,227.93,0.00106512,1,7,1
uno, 16.1452,23.4023,0.0010603,1,7,1
uno, 16.1452,243.829,0.00122102,1,7,1
uno, 16.1452,65.6225,0.00110471,1,7,1
uno, 16.1452,124.311,0.00183501,1,7,1
uno, 16.1452,192.519,0.00268221,1,7,1
uno, 16.1452,21.4444,0.00207594,1,7,1
uno, 16.1452,200.01,0.0140287,1,7,1
uno, 16.1452,64.5848,0.00253944,1,7,1
uno, 16.1452,13.4822,0.0021112,1,7,1
uno, 16.1452,241.94,0.00100473,1,7,1
uno, 16.1452,34.1937,0.00102379,1,7,1
uno, 16.1452,67.6573,0.00125877,1,7,1
uno, 16.1452,135.466,0.00143723,1,7,1
uno, 16.1452,294.97,0.00158295,1,7,1
uno, 16.1452,272.219,0.00100414,1,7,1
uno, 16.1452,163.904,0.00101589,1,7,1
uno, 16.1452,242.475,0.00118277,1,7,1
uno, 22.8328,42.5711,0.00101798,2,9,1
uno, 22.8328,61.7054,0.012683,2,9,1
uno, 22.8328,146.221,0.00132812,2,9,1
uno, 22.8328,72.6305,0.00105522,2,9,1
uno, 22.8328,280.611,0.00100555,2,9,1
uno, 22.8328,66.2202,0.00126904,2,9,1
uno, 22.8328,243.05,0.00109757,2,9,1
uno, 22.8328,290.589,0.00149205,2,9,1
uno, 32.2904,291.825,0.00115498,2,11,1
uno, 32.2904,63.3666,0.00149047,2,11,1
uno, 32.2904,273.456,0.00180927,2,11,1
